タイムスタンプ,日時,イベント種別,アクター,ファイルID,ファイル名,宛先,配信モード,理由,サイズ(bytes),ステータス,メタデータ
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,ダウンロード成功,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,,77,,
,,download_failed,datagate@outlook.jp,41c34491-2c10-4f98-a784-73efdd88b80f,test-outlook-debug.txt,,,invalid_otp,,,
,,ダウンロード成功,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,,45,,
,,download_failed,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,invalid_otp,,,
,,ダウンロード成功,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,,45,,
,,download_failed,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7a0e6d21-f644-4add-a015-feab4158f86a,test-phase51a-final.txt,,,invalid_otp,,,
,,ダウンロード成功,datagate@outlook.jp,fce28741-8487-4df1-93c7-fcb3f86a750d,test-phase51a-security.txt,,,,52,,
,,download_failed,datagate@outlook.jp,fce28741-8487-4df1-93c7-fcb3f86a750d,test-phase51a-security.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,fce28741-8487-4df1-93c7-fcb3f86a750d,test-phase51a-security.txt,,,invalid_otp,,,
,,ダウンロード成功,datagate@outlook.jp,fce28741-8487-4df1-93c7-fcb3f86a750d,test-phase51a-security.txt,,,,52,,
,,download_failed,datagate@outlook.jp,db023bb6-3301-4f4c-97f3-fd8b86d3c008,test-phase51a-ux.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,db023bb6-3301-4f4c-97f3-fd8b86d3c008,test-phase51a-ux.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,db023bb6-3301-4f4c-97f3-fd8b86d3c008,test-phase51a-ux.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,db023bb6-3301-4f4c-97f3-fd8b86d3c008,test-phase51a-ux.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,db023bb6-3301-4f4c-97f3-fd8b86d3c008,test-phase51a-ux.txt,,,invalid_otp,,,
,,ダウンロード成功,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,,33,,
,,download_failed,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,invalid_otp,,,
,,ダウンロード成功,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,,33,,
,,download_failed,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,invalid_otp,,,
,,download_failed,datagate@outlook.jp,7c40d2a8-2a23-473a-920c-65c31f6e50ba,test-phase51b-20251106-192923.txt,,,invalid_otp,,,
,,ダウンロード成功,138data@gmail.com,7da0a9e8-aa24-4902-a6da-f1b11ce76f35,test-gmail-20251107-084948.txt,,,,44,,
